"","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","percent_of_income","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","phone","default"
"39","> 200 DM",10,"good","furniture/appliances",1225,"< 100 DM","1 - 4 years",2,2,37,"none","own",1,"skilled",1,"yes","no"
"601","1 - 200 DM",7,"good","furniture/appliances",2329,"< 100 DM","< 1 year",1,1,45,"none","own",1,"skilled",1,"no","no"
"665","> 200 DM",6,"critical","education",1047,"< 100 DM","1 - 4 years",2,4,50,"none","own",1,"unskilled",1,"no","no"
"417","< 0 DM",12,"good","car",2579,"< 100 DM","< 1 year",4,1,33,"none","own",1,"unskilled",2,"no","yes"
"681","unknown",6,"good","education",1538,"< 100 DM","< 1 year",1,2,56,"none","own",1,"skilled",1,"no","no"
"97","unknown",12,"critical","education",2012,"unknown","4 - 7 years",4,2,61,"none","own",1,"skilled",1,"no","no"
"932","1 - 200 DM",9,"good","furniture/appliances",1670,"< 100 DM","< 1 year",4,2,22,"none","own",1,"skilled",1,"yes","yes"
"934","unknown",12,"critical","furniture/appliances",522,"500 - 1000 DM","> 7 years",4,4,42,"none","own",2,"skilled",2,"yes","no"
"678","1 - 200 DM",72,"good","furniture/appliances",5595,"100 - 500 DM","1 - 4 years",2,2,24,"none","own",1,"skilled",1,"no","yes"
"599","unknown",18,"critical","car",2775,"< 100 DM","4 - 7 years",2,2,31,"bank","own",2,"skilled",1,"no","yes"
"250","unknown",18,"good","furniture/appliances",433,"< 100 DM","unemployed",3,4,22,"none","rent",1,"skilled",1,"no","yes"
"876","1 - 200 DM",11,"critical","car",1322,"> 1000 DM","1 - 4 years",4,4,40,"none","own",2,"skilled",1,"no","no"
"292","1 - 200 DM",36,"good","car",9398,"< 100 DM","< 1 year",1,4,28,"none","rent",1,"management",1,"yes","yes"
"622","unknown",18,"critical","car",1530,"< 100 DM","1 - 4 years",3,2,32,"bank","own",2,"skilled",1,"no","yes"
"635","1 - 200 DM",24,"good","car",1355,"< 100 DM","< 1 year",3,4,25,"none","own",1,"unskilled",1,"yes","yes"
"300","1 - 200 DM",21,"critical","furniture/appliances",2745,"> 1000 DM","4 - 7 years",3,2,32,"none","own",2,"skilled",1,"yes","no"
"966","1 - 200 DM",30,"good","furniture/appliances",1715,"unknown","1 - 4 years",4,1,26,"none","own",1,"skilled",1,"no","no"
"351","unknown",9,"good","furniture/appliances",1236,"< 100 DM","< 1 year",1,4,23,"none","rent",1,"skilled",1,"yes","no"
"654","1 - 200 DM",36,"poor","car",8086,"100 - 500 DM","> 7 years",2,4,42,"none","own",4,"management",1,"yes","yes"
"167","< 0 DM",18,"good","furniture/appliances",1131,"< 100 DM","unemployed",4,2,33,"none","own",1,"skilled",1,"no","yes"
"591","< 0 DM",12,"critical","furniture/appliances",385,"< 100 DM","4 - 7 years",4,3,58,"none","own",4,"unskilled",1,"yes","no"
"211","unknown",9,"critical","furniture/appliances",3074,"unknown","1 - 4 years",1,2,33,"none","own",2,"skilled",2,"no","no"
"685","1 - 200 DM",36,"poor","business",9857,"100 - 500 DM","4 - 7 years",1,3,31,"none","own",2,"unskilled",2,"yes","no"
"400","unknown",24,"critical","furniture/appliances",1516,"> 1000 DM","1 - 4 years",4,1,43,"none","own",2,"unskilled",1,"no","no"
"967","1 - 200 DM",27,"critical","furniture/appliances",2520,"500 - 1000 DM","1 - 4 years",4,2,23,"none","own",2,"unskilled",1,"no","yes"
"560","1 - 200 DM",18,"critical","furniture/appliances",1928,"< 100 DM","< 1 year",2,2,31,"none","own",2,"unskilled",1,"no","yes"
"240","< 0 DM",30,"good","furniture/appliances",2522,"< 100 DM","> 7 years",1,3,39,"none","own",1,"skilled",2,"no","no"
"783","1 - 200 DM",12,"perfect","education",1410,"< 100 DM","1 - 4 years",2,2,31,"none","own",1,"unskilled",1,"yes","no"
"938","1 - 200 DM",6,"good","furniture/appliances",2063,"< 100 DM","< 1 year",4,3,30,"none","rent",1,"management",1,"yes","no"
"869","unknown",36,"good","business",7409,"unknown","> 7 years",3,2,37,"none","own",2,"skilled",1,"no","no"
"369","< 0 DM",36,"good","furniture/appliances",3446,"< 100 DM","> 7 years",4,2,42,"none","own",1,"skilled",2,"no","yes"
"779","unknown",36,"critical","car",5711,"> 1000 DM","> 7 years",4,2,38,"none","own",2,"management",1,"yes","no"
"88","1 - 200 DM",36,"good","education",12612,"100 - 500 DM","1 - 4 years",1,4,47,"none","other",1,"skilled",2,"yes","yes"
"675","unknown",21,"poor","business",2580,"500 - 1000 DM","< 1 year",4,2,41,"bank","own",1,"unskilled",2,"no","yes"
"945","< 0 DM",15,"good","furniture/appliances",1845,"< 100 DM","< 1 year",4,1,46,"none","rent",1,"skilled",1,"no","no"
"752","< 0 DM",18,"good","car",976,"< 100 DM","< 1 year",1,2,23,"none","own",1,"unskilled",1,"no","yes"
"136","unknown",12,"critical","furniture/appliances",1240,"unknown","> 7 years",4,2,38,"none","own",2,"skilled",1,"yes","no"
"656","< 0 DM",14,"good","car",3973,"< 100 DM","unemployed",1,4,22,"none","other",1,"skilled",1,"no","no"
"448","1 - 200 DM",7,"good","furniture/appliances",2576,"< 100 DM","1 - 4 years",2,2,35,"none","own",1,"skilled",1,"no","no"
"923","< 0 DM",9,"good","furniture/appliances",1366,"< 100 DM","< 1 year",3,4,22,"none","rent",1,"skilled",1,"no","yes"
"939","1 - 200 DM",60,"good","education",6288,"< 100 DM","1 - 4 years",4,4,42,"none","other",1,"skilled",1,"no","yes"
"609","unknown",18,"good","furniture/appliances",2051,"< 100 DM","< 1 year",4,1,33,"none","own",1,"skilled",1,"no","no"
"267","unknown",36,"critical","business",6304,"unknown","> 7 years",4,4,36,"none","own",2,"skilled",1,"no","no"
"328","unknown",24,"good","car",1525,"> 1000 DM","4 - 7 years",4,3,34,"none","own",1,"skilled",2,"yes","no"
"996","unknown",12,"good","furniture/appliances",1736,"< 100 DM","4 - 7 years",3,4,31,"none","own",1,"unskilled",1,"no","no"
"864","unknown",27,"critical","furniture/appliances",4526,"> 1000 DM","< 1 year",4,2,32,"store","own",2,"unskilled",2,"yes","no"
"684","unknown",24,"critical","furniture/appliances",5103,"< 100 DM","< 1 year",3,3,47,"none","other",3,"skilled",1,"yes","no"
"959","< 0 DM",28,"good","car",4006,"< 100 DM","1 - 4 years",3,2,45,"none","own",1,"unskilled",1,"no","yes"
"544","> 200 DM",18,"good","furniture/appliances",2864,"< 100 DM","1 - 4 years",2,1,34,"none","own",1,"unskilled",2,"no","yes"
"306","unknown",6,"good","furniture/appliances",1543,"> 1000 DM","1 - 4 years",4,2,33,"none","own",1,"skilled",1,"no","no"
"954","unknown",36,"good","furniture/appliances",10974,"< 100 DM","unemployed",4,2,26,"none","own",2,"management",1,"yes","yes"
"287","< 0 DM",48,"good","car",4788,"< 100 DM","4 - 7 years",4,3,26,"none","own",1,"skilled",2,"no","no"
"946","1 - 200 DM",48,"perfect","car",8358,"500 - 1000 DM","< 1 year",1,1,30,"none","own",2,"skilled",1,"no","no"
"343","1 - 200 DM",18,"good","furniture/appliances",3213,"500 - 1000 DM","< 1 year",1,3,25,"none","rent",1,"skilled",1,"no","no"
"237","1 - 200 DM",6,"good","car",14555,"unknown","unemployed",1,2,23,"none","own",1,"unemployed",1,"yes","yes"
"642","1 - 200 DM",15,"good","renovations",1308,"< 100 DM","> 7 years",4,4,38,"none","own",2,"unskilled",1,"no","no"
"895","unknown",18,"critical","furniture/appliances",1169,"unknown","1 - 4 years",4,3,29,"none","own",2,"skilled",1,"yes","no"
"726","unknown",6,"critical","car",250,"> 1000 DM","1 - 4 years",2,2,41,"bank","own",2,"unskilled",1,"no","no"
"503","> 200 DM",9,"good","furniture/appliances",1126,"100 - 500 DM","> 7 years",2,4,49,"none","own",1,"skilled",1,"no","no"
"166","unknown",6,"good","furniture/appliances",2978,"500 - 1000 DM","1 - 4 years",1,2,32,"none","own",1,"skilled",1,"yes","no"
"557","1 - 200 DM",18,"perfect","car",2278,"100 - 500 DM","< 1 year",3,3,28,"none","own",2,"skilled",1,"no","yes"
"719","> 200 DM",24,"critical","furniture/appliances",3148,"unknown","1 - 4 years",3,2,31,"none","own",2,"skilled",1,"yes","no"
"882","unknown",24,"good","car",9277,"unknown","1 - 4 years",2,4,48,"none","other",1,"skilled",1,"yes","no"
"528","unknown",4,"critical","furniture/appliances",1503,"< 100 DM","4 - 7 years",2,1,42,"none","own",2,"unskilled",2,"no","no"
"600","unknown",24,"poor","business",3863,"< 100 DM","1 - 4 years",1,2,32,"none","other",1,"skilled",1,"no","no"
"915","< 0 DM",24,"very good","business",3161,"< 100 DM","1 - 4 years",4,2,31,"none","rent",1,"skilled",1,"yes","yes"
"34","unknown",12,"critical","business",1264,"unknown","> 7 years",4,4,57,"none","rent",1,"unskilled",1,"no","no"
"716","unknown",30,"critical","car",7596,"unknown","> 7 years",1,4,63,"none","own",2,"skilled",1,"no","no"
"82","unknown",15,"good","furniture/appliances",1213,"500 - 1000 DM","> 7 years",4,3,47,"store","own",1,"skilled",1,"yes","no"
"667","1 - 200 DM",30,"very good","furniture/appliances",3496,"> 1000 DM","1 - 4 years",4,2,34,"store","own",1,"skilled",2,"yes","no"
"18","< 0 DM",30,"perfect","business",8072,"unknown","< 1 year",2,3,25,"bank","own",3,"skilled",1,"no","no"
"695","unknown",24,"good","furniture/appliances",2284,"< 100 DM","4 - 7 years",4,2,28,"none","own",1,"skilled",1,"yes","no"
"664","1 - 200 DM",6,"poor","furniture/appliances",1050,"< 100 DM","unemployed",4,1,35,"store","own",2,"management",1,"yes","no"
"976","> 200 DM",24,"good","furniture/appliances",1258,"500 - 1000 DM","1 - 4 years",3,3,57,"none","own",1,"unskilled",1,"no","no"
"460","unknown",18,"good","furniture/appliances",4594,"< 100 DM","< 1 year",3,2,32,"none","own",1,"skilled",1,"yes","no"
"624","< 0 DM",12,"good","furniture/appliances",1858,"< 100 DM","< 1 year",4,1,22,"none","rent",1,"skilled",1,"no","no"
"863","< 0 DM",24,"good","furniture/appliances",2439,"< 100 DM","< 1 year",4,4,35,"none","own",1,"skilled",1,"yes","yes"
"687","> 200 DM",10,"critical","furniture/appliances",1347,"unknown","4 - 7 years",4,2,27,"none","own",2,"skilled",1,"yes","no"
"498","unknown",24,"critical","furniture/appliances",1585,"< 100 DM","4 - 7 years",4,3,40,"none","own",2,"skilled",1,"no","no"
"703","> 200 DM",24,"good","furniture/appliances",1377,"100 - 500 DM","> 7 years",4,2,47,"none","other",1,"skilled",1,"yes","no"
"382","1 - 200 DM",18,"good","car",12976,"< 100 DM","unemployed",3,4,38,"none","other",1,"management",1,"yes","yes"
"317","< 0 DM",12,"good","furniture/appliances",708,"< 100 DM","1 - 4 years",2,3,38,"none","own",1,"unskilled",2,"no","no"
"641","< 0 DM",18,"good","education",750,"< 100 DM","unemployed",4,1,27,"none","own",1,"unemployed",1,"no","yes"
"67","unknown",12,"good","furniture/appliances",2171,"< 100 DM","< 1 year",2,2,29,"bank","own",1,"skilled",1,"no","no"
"376","< 0 DM",48,"very good","business",7685,"< 100 DM","4 - 7 years",2,4,37,"none","rent",1,"skilled",1,"no","yes"
"114","unknown",36,"critical","car",7855,"< 100 DM","1 - 4 years",4,2,25,"store","own",2,"skilled",1,"yes","yes"
"244","unknown",12,"critical","business",1185,"< 100 DM","1 - 4 years",3,2,27,"none","own",2,"skilled",1,"no","no"
"6","unknown",36,"good","education",9055,"unknown","1 - 4 years",2,4,35,"none","other",1,"unskilled",2,"yes","no"
"281","unknown",15,"critical","car",3368,"> 1000 DM","> 7 years",3,4,23,"none","rent",2,"skilled",1,"yes","no"
"411","1 - 200 DM",24,"good","furniture/appliances",1967,"< 100 DM","> 7 years",4,4,20,"none","own",1,"skilled",1,"yes","no"
"610","unknown",15,"good","car",1300,"unknown","> 7 years",4,4,45,"bank","other",1,"skilled",2,"no","no"
"493","unknown",6,"critical","furniture/appliances",1237,"100 - 500 DM","1 - 4 years",1,1,27,"none","own",2,"skilled",1,"no","no"
"135","unknown",60,"good","furniture/appliances",10144,"100 - 500 DM","4 - 7 years",2,4,21,"none","own",1,"skilled",1,"yes","no"
"960","1 - 200 DM",24,"good","furniture/appliances",3069,"100 - 500 DM","> 7 years",4,4,30,"none","other",1,"skilled",1,"no","no"
"847","unknown",18,"good","car",6761,"unknown","1 - 4 years",2,4,68,"none","rent",2,"skilled",1,"no","yes"
"565","1 - 200 DM",24,"poor","business",4712,"unknown","1 - 4 years",4,2,37,"bank","own",2,"management",1,"yes","no"
"7","unknown",24,"good","furniture/appliances",2835,"500 - 1000 DM","> 7 years",3,4,53,"none","own",1,"skilled",1,"no","no"
"913","1 - 200 DM",30,"good","furniture/appliances",2991,"unknown","> 7 years",2,4,25,"none","own",1,"skilled",1,"no","no"
"502","< 0 DM",36,"good","car",5493,"< 100 DM","> 7 years",2,4,42,"none","other",1,"skilled",2,"no","no"
"275","< 0 DM",30,"good","renovations",11998,"< 100 DM","< 1 year",1,1,34,"none","own",1,"unskilled",1,"yes","yes"
"785","1 - 200 DM",20,"good","car",6468,"unknown","unemployed",1,4,60,"none","own",1,"management",1,"yes","no"
"93","unknown",12,"critical","furniture/appliances",797,"unknown","> 7 years",4,3,33,"bank","own",1,"unskilled",2,"no","yes"
"780","1 - 200 DM",18,"good","renovations",3872,"< 100 DM","unemployed",2,4,67,"none","own",1,"skilled",1,"yes","no"
"694","< 0 DM",6,"critical","car",4716,"unknown","< 1 year",1,3,44,"none","own",2,"unskilled",2,"no","no"
"786","1 - 200 DM",18,"good","business",1941,"> 1000 DM","1 - 4 years",4,2,35,"none","own",1,"unskilled",1,"yes","no"
"401","unknown",18,"good","furniture/appliances",1473,"< 100 DM","< 1 year",3,4,39,"none","own",1,"skilled",1,"yes","no"
"506","unknown",10,"good","car",1309,"unknown","1 - 4 years",4,4,27,"none","own",1,"unskilled",1,"no","yes"
"396","1 - 200 DM",39,"poor","education",11760,"100 - 500 DM","4 - 7 years",2,3,32,"none","rent",1,"skilled",1,"yes","no"
"198","1 - 200 DM",12,"good","furniture/appliances",951,"100 - 500 DM","< 1 year",4,4,27,"bank","rent",4,"skilled",1,"no","yes"
"797","< 0 DM",18,"good","car",7511,"unknown","> 7 years",1,4,51,"none","other",1,"skilled",2,"yes","yes"
"473","< 0 DM",9,"good","car",654,"< 100 DM","1 - 4 years",4,3,28,"none","own",1,"unskilled",1,"no","yes"
"175","< 0 DM",21,"poor","education",3414,"< 100 DM","< 1 year",2,1,26,"none","own",2,"skilled",1,"no","yes"
"164","1 - 200 DM",10,"good","car",7308,"< 100 DM","unemployed",2,4,70,"bank","other",1,"management",1,"yes","no"
"257","unknown",24,"critical","furniture/appliances",2684,"< 100 DM","1 - 4 years",4,2,35,"none","own",2,"unskilled",1,"no","no"
"223","unknown",12,"good","furniture/appliances",707,"< 100 DM","1 - 4 years",4,2,30,"bank","own",2,"skilled",1,"no","no"
"648","unknown",12,"good","car",1386,"500 - 1000 DM","1 - 4 years",2,2,26,"none","own",1,"skilled",1,"no","yes"
"767","< 0 DM",30,"good","furniture/appliances",3108,"< 100 DM","< 1 year",2,4,31,"none","own",1,"unskilled",1,"no","yes"
"389","1 - 200 DM",15,"critical","business",2326,"500 - 1000 DM","1 - 4 years",2,4,27,"bank","own",1,"skilled",1,"no","no"
"556","1 - 200 DM",12,"good","furniture/appliances",1331,"< 100 DM","< 1 year",2,1,22,"store","own",1,"skilled",1,"no","yes"
"137","unknown",27,"poor","car",8613,"> 1000 DM","1 - 4 years",2,2,27,"none","own",2,"skilled",1,"no","no"
"48","< 0 DM",6,"good","car",1352,"500 - 1000 DM","unemployed",1,2,23,"none","rent",1,"unemployed",1,"yes","no"
"500","> 200 DM",6,"critical","car",1323,"100 - 500 DM","> 7 years",2,4,28,"none","own",2,"skilled",2,"yes","no"
"381","< 0 DM",20,"good","furniture/appliances",2212,"unknown","4 - 7 years",4,4,39,"none","own",1,"skilled",1,"yes","no"
"492","1 - 200 DM",27,"perfect","business",8318,"< 100 DM","> 7 years",2,4,42,"none","other",2,"management",1,"yes","yes"
"51","1 - 200 DM",24,"poor","furniture/appliances",2333,"unknown","< 1 year",4,2,29,"bank","own",1,"unskilled",1,"no","no"
"992","unknown",15,"very good","furniture/appliances",1569,"100 - 500 DM","> 7 years",4,4,34,"bank","own",1,"unskilled",2,"no","no"
"742","1 - 200 DM",10,"very good","furniture/appliances",1048,"< 100 DM","1 - 4 years",4,4,23,"store","own",1,"unskilled",1,"no","no"
"925","< 0 DM",24,"very good","furniture/appliances",6872,"< 100 DM","< 1 year",2,1,55,"bank","own",1,"skilled",1,"yes","yes"
"224","unknown",24,"poor","business",2978,"unknown","1 - 4 years",4,4,32,"none","own",2,"skilled",2,"yes","no"
"740","1 - 200 DM",30,"perfect","business",4280,"100 - 500 DM","1 - 4 years",4,4,26,"none","rent",2,"unskilled",1,"no","yes"
"897","< 0 DM",21,"good","furniture/appliances",2606,"< 100 DM","< 1 year",4,4,28,"none","rent",1,"management",1,"yes","no"
"90","< 0 DM",12,"perfect","renovations",1108,"< 100 DM","4 - 7 years",4,3,28,"none","own",2,"skilled",1,"no","yes"
"761","unknown",15,"critical","car",5045,"unknown","> 7 years",1,4,59,"none","own",1,"skilled",1,"yes","no"
"813","< 0 DM",36,"critical","car",9629,"< 100 DM","4 - 7 years",4,4,24,"none","own",2,"skilled",1,"yes","yes"
"186","unknown",15,"critical","furniture/appliances",1360,"< 100 DM","1 - 4 years",4,2,31,"none","own",2,"skilled",1,"no","no"
"723","< 0 DM",12,"good","car",1228,"< 100 DM","1 - 4 years",4,2,24,"none","own",1,"unskilled",1,"no","yes"
"585","unknown",12,"good","car",2133,"unknown","> 7 years",4,4,52,"none","other",1,"management",1,"yes","no"
"772","< 0 DM",36,"critical","education",8065,"< 100 DM","1 - 4 years",3,2,25,"none","own",2,"management",1,"yes","yes"
"383","unknown",22,"good","car",1283,"unknown","4 - 7 years",4,4,25,"none","rent",1,"skilled",1,"no","no"
"422","1 - 200 DM",12,"good","car",2028,"unknown","1 - 4 years",4,2,30,"none","own",1,"skilled",1,"no","no"
"843","unknown",18,"good","renovations",1943,"< 100 DM","< 1 year",4,4,23,"none","own",1,"skilled",1,"no","yes"
"873","< 0 DM",24,"critical","business",1382,"100 - 500 DM","4 - 7 years",4,1,26,"none","own",2,"skilled",1,"yes","no"
"755","unknown",12,"poor","renovations",1555,"> 1000 DM","> 7 years",4,4,55,"none","other",2,"skilled",2,"no","yes"
"522","< 0 DM",18,"good","furniture/appliances",3190,"< 100 DM","1 - 4 years",2,2,24,"none","own",1,"skilled",1,"no","yes"
"455","< 0 DM",24,"good","car",4817,"< 100 DM","4 - 7 years",2,3,31,"none","own",1,"skilled",1,"yes","yes"
"467","< 0 DM",24,"poor","furniture/appliances",1659,"< 100 DM","< 1 year",4,2,29,"none","rent",1,"unskilled",1,"yes","yes"
"991","unknown",12,"critical","education",3565,"unknown","< 1 year",2,1,37,"none","own",2,"unskilled",2,"no","no"
"652","1 - 200 DM",12,"good","furniture/appliances",1922,"< 100 DM","1 - 4 years",4,2,37,"none","own",1,"unskilled",1,"no","yes"
"677","unknown",24,"critical","furniture/appliances",5150,"< 100 DM","> 7 years",4,4,33,"none","own",1,"skilled",1,"yes","no"
"177","< 0 DM",12,"good","furniture/appliances",2577,"< 100 DM","1 - 4 years",2,1,42,"none","own",1,"skilled",1,"no","no"
"899","unknown",15,"good","furniture/appliances",2186,"unknown","4 - 7 years",1,4,33,"bank","rent",1,"unskilled",1,"no","no"
"405","1 - 200 DM",18,"poor","car",2899,"unknown","> 7 years",4,4,43,"none","own",1,"skilled",2,"no","no"
"268","unknown",24,"good","furniture/appliances",1533,"< 100 DM","< 1 year",4,3,38,"store","own",1,"skilled",1,"yes","no"
"229","unknown",9,"good","furniture/appliances",1478,"< 100 DM","4 - 7 years",4,2,22,"none","own",1,"skilled",1,"no","yes"
"463","1 - 200 DM",12,"good","furniture/appliances",3017,"< 100 DM","< 1 year",3,1,34,"none","rent",1,"management",1,"no","no"
"604","unknown",36,"good","furniture/appliances",3349,"< 100 DM","1 - 4 years",4,2,28,"none","own",1,"management",1,"yes","yes"
"828","unknown",18,"perfect","business",4165,"< 100 DM","1 - 4 years",2,2,36,"store","own",2,"skilled",2,"no","yes"
"232","unknown",9,"good","car",2507,"500 - 1000 DM","> 7 years",2,4,51,"none","other",1,"unskilled",1,"no","no"
"956","< 0 DM",24,"critical","furniture/appliances",1231,"> 1000 DM","> 7 years",4,4,57,"none","rent",2,"management",1,"yes","no"
"53","unknown",12,"good","furniture/appliances",1262,"< 100 DM","1 - 4 years",3,2,25,"none","own",1,"skilled",1,"no","no"
"902","unknown",20,"critical","car",3485,"unknown","< 1 year",2,4,44,"none","own",2,"skilled",1,"yes","no"
"771","< 0 DM",24,"good","car",2812,"unknown","> 7 years",2,4,26,"none","rent",1,"skilled",1,"no","no"
"472","< 0 DM",6,"good","education",448,"< 100 DM","< 1 year",4,4,23,"none","own",1,"skilled",1,"no","yes"
"823","< 0 DM",36,"good","furniture/appliances",2712,"< 100 DM","> 7 years",2,2,41,"bank","own",1,"skilled",2,"no","yes"
"323","< 0 DM",24,"good","car",2910,"< 100 DM","4 - 7 years",2,1,34,"none","other",1,"management",1,"yes","no"
"46","unknown",11,"critical","car",1393,"< 100 DM","< 1 year",4,4,35,"none","own",2,"management",1,"no","no"
"338","< 0 DM",15,"good","furniture/appliances",1275,"unknown","1 - 4 years",4,2,24,"none","rent",1,"skilled",1,"no","yes"
"247","unknown",12,"critical","furniture/appliances",717,"< 100 DM","> 7 years",4,4,52,"none","own",3,"skilled",1,"no","no"
"970","< 0 DM",11,"critical","car",3939,"< 100 DM","1 - 4 years",1,2,40,"none","own",2,"unskilled",2,"no","no"
"509","unknown",24,"good","furniture/appliances",1413,"< 100 DM","1 - 4 years",4,2,28,"none","own",1,"skilled",1,"no","no"
"845","unknown",18,"good","furniture/appliances",3422,"< 100 DM","> 7 years",4,4,47,"bank","own",3,"skilled",2,"yes","no"
"673","unknown",60,"good","car",10366,"< 100 DM","> 7 years",2,4,42,"none","own",1,"management",1,"yes","no"
"62","1 - 200 DM",15,"critical","furniture/appliances",1537,"unknown","> 7 years",4,4,50,"none","own",2,"skilled",1,"yes","no"
"321","1 - 200 DM",30,"critical","car",4249,"< 100 DM","unemployed",4,2,28,"none","own",2,"management",1,"no","yes"
"808","unknown",12,"critical","furniture/appliances",930,"unknown","> 7 years",4,4,65,"none","own",4,"skilled",1,"no","no"
"130","< 0 DM",12,"critical","car",3499,"< 100 DM","1 - 4 years",3,2,29,"none","own",2,"skilled",1,"no","yes"
"884","unknown",18,"critical","furniture/appliances",1098,"< 100 DM","unemployed",4,4,65,"none","own",2,"unemployed",1,"no","no"
"410","> 200 DM",12,"critical","car",939,"500 - 1000 DM","4 - 7 years",4,2,28,"none","own",3,"skilled",1,"yes","yes"
"27","unknown",6,"perfect","furniture/appliances",426,"< 100 DM","> 7 years",4,4,39,"none","own",1,"unskilled",1,"no","no"
"414","unknown",10,"good","car",1597,"500 - 1000 DM","1 - 4 years",3,2,40,"none","rent",1,"unskilled",2,"no","no"
"54","unknown",18,"good","car",3378,"unknown","1 - 4 years",2,1,31,"none","own",1,"skilled",1,"yes","no"
"444","unknown",12,"good","education",719,"< 100 DM","> 7 years",4,4,41,"bank","own",1,"unskilled",2,"no","yes"
"718","unknown",18,"good","furniture/appliances",1505,"< 100 DM","1 - 4 years",4,2,32,"none","other",1,"management",1,"yes","no"
"937","> 200 DM",9,"good","furniture/appliances",745,"< 100 DM","1 - 4 years",3,2,28,"none","own",1,"unskilled",1,"no","yes"
"631","< 0 DM",24,"good","furniture/appliances",3660,"< 100 DM","1 - 4 years",2,4,28,"none","own",1,"skilled",1,"no","no"
"547","unknown",24,"critical","car",2022,"< 100 DM","1 - 4 years",4,4,37,"none","own",1,"skilled",1,"yes","no"
"795","unknown",24,"good","furniture/appliances",3062,"500 - 1000 DM","> 7 years",4,3,32,"none","rent",1,"skilled",1,"yes","no"
"697","1 - 200 DM",12,"good","furniture/appliances",1103,"< 100 DM","4 - 7 years",4,3,29,"none","own",2,"skilled",1,"no","no"
"942","unknown",10,"good","car",1546,"< 100 DM","1 - 4 years",3,2,31,"none","own",1,"unskilled",2,"no","no"
"947","< 0 DM",24,"very good","furniture/appliances",3349,"500 - 1000 DM","< 1 year",4,4,30,"none","other",1,"skilled",2,"yes","yes"
"686","unknown",60,"good","car",6527,"unknown","1 - 4 years",4,4,34,"none","other",1,"skilled",2,"yes","no"
"215","unknown",36,"critical","furniture/appliances",3342,"unknown","> 7 years",4,2,51,"none","own",1,"skilled",1,"yes","no"
"961","unknown",6,"critical","furniture/appliances",1740,"< 100 DM","> 7 years",2,2,30,"none","rent",2,"skilled",1,"no","no"
"856","unknown",24,"good","car",1474,"100 - 500 DM","< 1 year",4,3,33,"none","own",1,"skilled",1,"yes","no"
"83","unknown",18,"good","business",1568,"100 - 500 DM","1 - 4 years",3,4,24,"none","rent",1,"unskilled",1,"no","no"
"834","1 - 200 DM",24,"good","furniture/appliances",5084,"unknown","> 7 years",2,4,42,"none","own",1,"skilled",1,"yes","no"
"408","< 0 DM",15,"good","furniture/appliances",1053,"< 100 DM","< 1 year",4,2,27,"none","own",1,"skilled",1,"no","no"
"404","unknown",14,"poor","car",802,"< 100 DM","1 - 4 years",4,2,27,"none","own",2,"unskilled",1,"no","no"
"728","< 0 DM",18,"good","furniture/appliances",1882,"< 100 DM","1 - 4 years",4,4,25,"bank","rent",2,"skilled",1,"no","yes"
"818","unknown",6,"critical","furniture/appliances",1554,"< 100 DM","4 - 7 years",1,2,24,"none","rent",2,"skilled",1,"yes","no"
"60","< 0 DM",36,"critical","furniture/appliances",6229,"< 100 DM","< 1 year",4,4,23,"none","rent",2,"unskilled",1,"yes","yes"
"15","< 0 DM",15,"good","car",1403,"< 100 DM","1 - 4 years",2,4,28,"none","rent",1,"skilled",1,"no","no"
"248","unknown",6,"perfect","car",1204,"100 - 500 DM","1 - 4 years",4,1,35,"bank","rent",1,"skilled",1,"no","no"
"962","1 - 200 DM",21,"poor","car",2353,"< 100 DM","1 - 4 years",1,4,47,"none","own",2,"skilled",1,"no","no"
"57","1 - 200 DM",12,"good","furniture/appliances",6468,"unknown","unemployed",2,1,52,"none","own",1,"management",1,"yes","yes"
"269","< 0 DM",14,"good","car",8978,"< 100 DM","> 7 years",1,4,45,"none","own",1,"management",1,"yes","yes"
"870","< 0 DM",12,"good","furniture/appliances",652,"< 100 DM","> 7 years",4,4,24,"none","rent",1,"skilled",1,"no","no"
"358","unknown",36,"poor","furniture/appliances",4463,"< 100 DM","1 - 4 years",4,2,26,"none","own",2,"management",1,"yes","yes"
"519","< 0 DM",6,"good","car",1203,"100 - 500 DM","> 7 years",3,2,43,"none","own",1,"skilled",1,"yes","no"
"688","1 - 200 DM",36,"poor","car",2862,"100 - 500 DM","> 7 years",4,3,30,"none","other",1,"skilled",1,"no","no"
"921","unknown",18,"critical","furniture/appliances",1817,"< 100 DM","1 - 4 years",4,2,28,"none","own",2,"skilled",1,"no","no"
"751","< 0 DM",6,"good","furniture/appliances",428,"< 100 DM","> 7 years",2,1,49,"bank","own",1,"skilled",1,"yes","no"
"20","unknown",24,"good","furniture/appliances",3430,"500 - 1000 DM","> 7 years",3,2,31,"none","own",1,"skilled",2,"yes","no"
"573","unknown",24,"good","car",5433,"unknown","unemployed",2,4,26,"none","rent",1,"management",1,"yes","no"
"365","< 0 DM",18,"good","furniture/appliances",2473,"< 100 DM","unemployed",4,1,25,"none","own",1,"unemployed",1,"no","yes"
"379","1 - 200 DM",36,"good","car",14318,"< 100 DM","> 7 years",4,2,57,"none","other",1,"management",1,"yes","yes"
